official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
Uya,Endangered,270,Papua New Guinea,1,0,0,0,1,1,13.723,24.1
Uzbeki Spoken Arabic,Endangered,700,Uzbekistan,0,0,0,0,0,1,50.532,89.0
Vaeakau-Taumako,Vulnerable,1662,Solomon Islands,0,0,0,0,0,1,26.037,42.5
Vafsi,Vulnerable,20000,"Iran, Islamic Rep.",0,0,0,0,0,1,77.257,79.6
Valpei,Endangered,300,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vanimo,Vulnerable,1660,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Vano,Critically Endangered,5,Solomon Islands,0,0,0,0,0,1,26.037,42.5
Varavara,Endangered,100,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vatlongos,Threatened,3700,Vanuatu,0,0,0,0,0,1,25.976,45.7
Veddah,Extinct,0,Sri Lanka,0,0,0,0,0,1,19.211,51.2
Vehes,Severely Endangered,70,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Veps,Severely Endangered,3613,Russian Federation,0,0,0,0,0,1,75.331,92.2
Vera'a,Endangered,275,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vidunda,Threatened,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
Vilela,Extinct,0,Argentina,0,0,0,0,0,1,92.463,89.2
Vinmavis,Endangered,500,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vinza,Vulnerable,10000,Tanzania,0,0,0,0,0,1,37.409,29.1
Vivaro-Alpine,Endangered,200000,France;Italy,0,0,0,0,0,2,81.777,87.0
Vivti,Critically Endangered,5,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vlax Romani,At risk,885970,Turkey;Germany;Russian Federation;Ukraine;Bulgaria;Romania;Lithuania;France;Italy;Greece;Spain;Portugal;Macedonia;Moldova;Poland;Czech Republic;Sweden;Netherlands;Norway;Switzerland;Finland;Austria;Croatia;Latvia;Slovakia;Hungary;Albania;Belarus;Bosnia and Herzegovina;Slovenia;Serbia;Montenegro,0,0,0,0,0,32,93.179,99.0
Volow,Critically Endangered,1,Vanuatu,0,0,0,0,0,1,25.976,45.7
Võro,Threatened,50000,Estonia,0,0,0,0,0,1,69.81,93.2
Votic,Critically Endangered,10,Russian Federation,0,0,0,0,0,1,75.331,92.2
Vovo,Endangered,475,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vumbu,Endangered,500,Gabon,0,0,0,0,0,1,91.029,71.9
Vunapu,Endangered,380,Vanuatu,0,0,0,0,0,1,25.976,45.7
Vurës,Threatened,1050,Vanuatu,0,0,0,0,0,1,25.976,45.7
Waanyi,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Wab,Endangered,120,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wadi-Wadi,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Wadjigu,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Wae Rana,Threatened,3000,Indonesia,0,0,0,0,0,1,58.572,69.2
Wagiman,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
Wahau Kenya,Threatened,8000,Indonesia,0,0,0,0,0,1,58.572,69.2
Waigali,Threatened,1500,Afghanistan,0,0,0,0,0,1,26.933,17.7
Wailapa,Endangered,100,Vanuatu,0,0,0,0,0,1,25.976,45.7
Waima'a,Threatened,3000,Timor-Leste,0,0,0,0,0,1,32.456,34.0
Waimirí-Atroarí,Threatened,1120,Brazil,0,0,0,0,0,1,87.788,84.2
Waiwai,Threatened,3154,Brazil;Guyana,0,0,0,0,0,2,87.788,84.2
Wajarri,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
Wajuk,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Waka-Waka,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Wakaya,Severely Endangered,10,Australia,0,0,0,0,0,1,86.617,97.1
Wakhi,Vulnerable,37570,Tajikistan;Afghanistan;Pakistan;China,0,0,0,0,0,4,64.57,77.5
Walio,Endangered,200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Walloon,Threatened,600000,Belgium;France;Luxembourg,0,0,0,0,0,3,98.189,99.3
Walmajarri,Endangered,860,Australia,0,0,0,0,0,1,86.617,97.1
Walman,Severely Endangered,1740,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Walungge,Threatened,1000,India;Nepal,0,0,0,0,0,2,36.364,55.8
Wamas,Endangered,220,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wambaya,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Wambule,Vulnerable,15000,Nepal,0,0,0,0,0,1,21.903,55.8
Wamey,Vulnerable,25000,Senegal;Guinea,0,0,0,0,0,2,49.579,60.6
Wanano,Threatened,2000,Brazil;Colombia,0,0,0,0,0,2,87.788,84.2
Wanda,Vulnerable,42810,Tanzania,1,0,0,0,0,1,37.409,29.1
Wanggamala,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Wangganguru,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Wangkajunga,Severely Endangered,20,Australia,0,0,0,0,0,1,86.617,97.1
Wano,Threatened,7000,Indonesia,0,0,0,0,0,1,58.572,69.2
Wantoat,Threatened,8200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wanukaka,Endangered,14000,Indonesia,0,0,0,0,0,1,58.572,69.2
Waorani,Threatened,1616,Ecuador,0,0,0,0,0,1,64.792,72.7
Wapan,At risk,100000,Nigeria,0,0,0,0,0,1,54.283,39.2
Wãpha,Threatened,1610,Nigeria,0,0,0,0,0,1,54.283,39.2
Wapixana,Vulnerable,10900,Brazil;Guyana,0,0,0,0,0,2,87.788,84.2
Wara,Threatened,4500,Burkina Faso,1,1,0,0,0,1,32.52,17.0
Warao,Vulnerable,32400,"Venezuela, RB;Guyana;Suriname",0,0,0,0,0,3,88.438,81.7
Warapu,Endangered,3,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wardaman,Severely Endangered,30,Australia,0,0,0,0,0,1,86.617,97.1
Warembori,Endangered,700,Indonesia,0,0,0,0,0,1,58.572,69.2
Wares,Endangered,200,Indonesia,0,0,0,0,0,1,58.572,69.2
Wari',Threatened,2381,Brazil,0,0,0,0,0,1,87.788,84.2
Waris,Threatened,4400,Indonesia;Papua New Guinea,0,0,0,0,0,2,58.572,69.2
Waritai,Endangered,150,Indonesia,0,0,0,0,0,1,58.572,69.2
Warji,Vulnerable,77700,Nigeria,0,0,0,0,0,1,54.283,39.2
Warlmanpa,Severely Endangered,36,Australia,0,0,0,0,0,1,86.617,97.1
Warlpiri,Threatened,3000,Australia,0,0,0,0,0,1,86.617,97.1
Warluwarra,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Warndarrang,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Warnman,Severely Endangered,30,Australia,0,0,0,0,0,1,86.617,97.1
Warray,Critically Endangered,4,Australia,0,0,0,0,0,1,86.617,97.1
Warrgamay,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Warriyangga,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Warrnambool,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Warrwa,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Waru,Endangered,350,Indonesia,0,0,0,0,0,1,58.572,69.2
Warumungu,Severely Endangered,50,Australia,0,0,0,0,0,1,86.617,97.1
Watakataui,Endangered,160,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Watam,Threatened,1086,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Waunana,Threatened,13000,Colombia;Panama,0,0,0,0,0,2,82.354,78.0
Waurá,Endangered,410,Brazil,0,0,0,0,0,1,87.788,84.2
Wawa,Threatened,2500,Nigeria;Cameroon,0,0,0,0,0,2,59.315,41.9
Wayampí,Threatened,1655,Brazil;French Guiana,0,0,0,0,0,2,87.788,84.2
Wayana,Threatened,1738,Brazil;Suriname;French Guiana,0,0,0,0,0,3,87.788,84.2
Wayoró,Critically Endangered,5,Brazil,0,0,0,0,0,1,87.788,84.2
Wayu,Endangered,1520,Nepal,0,0,0,0,0,1,21.903,55.8
Weliki,Endangered,200,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Welsh,Vulnerable,562016,Argentina;United Kingdom,0,1,0,0,0,2,92.463,96.3
Wergaia,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
Wersing,Vulnerable,4000,Indonesia,0,0,0,0,0,1,58.572,69.2
West Frisian,At risk,300000,Netherlands,0,0,0,0,0,1,93.179,97.0
West Tarangan,Vulnerable,9000,Indonesia,0,0,0,0,0,1,58.572,69.2
Western Abenaki,Critically Endangered,10,United States;Canada,0,0,0,0,0,2,83.298,94.0
Western Alta Mixtec,Vulnerable,61530,Mexico,0,0,0,0,0,1,81.582,81.2
Western Apache,Threatened,14000,United States,0,0,0,0,0,1,83.298,93.1
Western Arrarnte,Threatened,1500,Australia,0,0,0,0,0,1,86.617,97.1
Western Bru,Vulnerable,20000,Thailand,0,0,0,0,0,1,53.608,89.5
Western Bukidnon Manobo,Vulnerable,19000,Philippines,0,0,0,0,0,1,48.287,83.8
Western Buryat,Endangered,50000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Western Chinantec,Threatened,3590,Mexico,0,0,0,0,0,1,81.582,81.2
Western Gurung,Threatened,325000,India;Nepal,0,0,0,0,0,2,36.364,55.8
Western Highland Chatino,Vulnerable,12000,Mexico,0,0,0,0,0,1,81.582,81.2
Western Huasteca Nahuatl,At risk,400000,Mexico,0,0,0,0,0,1,81.582,81.2
Western Mansi,Extinct,0,Russian Federation,0,0,0,0,0,1,75.331,92.2
Western Mari,Vulnerable,50000,Russian Federation,0,0,0,0,0,1,75.331,92.2
Western Mewahang,Threatened,4650,Nepal,0,0,0,0,0,1,21.903,55.8
Western Pantar,Vulnerable,10804,Indonesia,0,0,0,0,0,1,58.572,69.2
Western Yiddish,Threatened,5400,Germany;Israel;Belgium;France;Netherlands;Switzerland;Hungary,0,0,0,0,0,7,98.189,97.3
Weyewa,At risk,240000,Indonesia,0,0,0,0,0,1,58.572,69.2
White Gelao,Severely Endangered,6000,China;Viet Nam,0,0,0,0,0,2,64.57,78.1
White Lachi,Extinct,0,Viet Nam,0,0,0,0,0,1,39.48,78.1
Wiaki,Critically Endangered,100,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wiarumus,Severely Endangered,460,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wichí,Vulnerable,30560,Argentina;Bolivia,0,0,0,0,0,2,92.463,89.2
Wichita,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
Wik-Epa,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Wik-Iiyanh,Severely Endangered,40,Australia,0,0,0,0,0,1,86.617,97.1
Wik-Keyangan,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Wik-Me'anha,Severely Endangered,12,Australia,0,0,0,0,0,1,86.617,97.1
Wik-Mungkan,Threatened,1060,Australia,0,0,0,0,0,1,86.617,97.1
Wik-Ngathana,Endangered,100,Australia,0,0,0,0,0,1,86.617,97.1
Wik-Ngatharr,Severely Endangered,86,Australia,0,0,0,0,0,1,86.617,97.1
Wilawila,Critically Endangered,2,Australia,0,0,0,0,0,1,86.617,97.1
Winnebago,Endangered,250,United States,0,0,0,0,0,1,83.298,93.1
Wintu,Extinct,0,United States,0,0,0,0,0,1,83.298,93.1
Wiradjuri,Critically Endangered,3,Australia,0,0,0,0,0,1,86.617,97.1
Wiru,Vulnerable,15300,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Witsuwit'en,Severely Endangered,211,Canada,0,0,0,0,0,1,81.862,94.0
Wogamusin,Endangered,368,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wogeo,Threatened,1500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Woi,Threatened,1800,Indonesia,0,0,0,0,0,1,58.572,69.2
Wom,Threatened,2500,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Woria,Critically Endangered,6,Indonesia,0,0,0,0,0,1,58.572,69.2
Worla,Critically Endangered,5,Australia,0,0,0,0,0,1,86.617,97.1
