glottocode,language_name,lang_family,endangerment_level,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
pele1245,Pele-Ata,,1,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
iton1250,Itonama,,5,0.0,,5,,5,critically endangered,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
guai1237,Guaicurian,,5,0.0,,,,,,1,14185.7812248529,14185.7812248529,83.12233799,83.12233799,79.7538805976118,79.7538805976118,1.2127000253117,1.2127000253117,0,0,0,0,0,0,0,0,1,0,0
tonk1249,Tonkawa,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
usku1243,Usku,,1,0.0,,3,,1,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
maku1246,Máku,,5,0.0,,,,,,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
atak1252,Atakapa,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
adai1235,Adai,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
lavu1241,Lavukaleve,,1,0.0,2,2,1,1,threatened,1,1933.55538435227,1933.55538435227,29.04070091,29.04070091,30.6617188562194,30.6617188562194,4.52267698306251,4.52267698306251,0,0,0,0,0,0,0,0,0,1,0
molo1262,Molof,,1,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
